[4/19/23 06:46PM] Received item from Onlyfans. Name: Collector necklace. Id: 19886, amount: 1	
[4/19/23 07:22PM] Received item from Kinda Savage. Name: Antique Bow. Id: 23144, amount: 1	
[4/19/23 07:55PM] Received item from A Fatality. Name: Lava bones. Id: 2023, amount: 10014	
[4/20/23 12:37PM] Gave item to Magnet. Name: Sanctum Golem Pet. Id: 19481, amount: 1	
[4/20/23 12:37PM] Received item from Magnet. Name: Imperial Whip. Id: 18750, amount: 1	
[4/20/23 02:01PM] Received item from Djnj. Name: Saint Legs. Id: 21030, amount: 1	
[4/20/23 02:34PM] Received item from Zshana. Name: Emerald Body. Id: 11002, amount: 1	
[4/20/23 05:52PM] Gave item to A Fatality. Name: Tarn token. Id: 10835, amount: 103684	
[4/20/23 05:52PM] Received item from A Fatality. Name: Obsidian Wings. Id: 23068, amount: 1	
[4/20/23 06:45PM] Gave item to Death. Name: Collector necklace. Id: 19886, amount: 1	
[4/20/23 06:45PM] Received item from Death. Name: Tarn token. Id: 10835, amount: 100000	
[4/21/23 01:49PM] Received item from Onlyfans. Name: Evil Gloves. Id: 14323, amount: 1	
[4/21/23 02:49PM] Received item from Nadez. Name: White Wand. Id: 22167, amount: 1	
[4/21/23 03:51PM] Gave item to Bandit. Name: Blood Vitur. Id: 8136, amount: 1	
[4/21/23 03:51PM] Received item from Bandit. Name: Emerald Coif. Id: 11001, amount: 1	
[4/22/23 06:21PM] Gave item to O T T E R. Name: Emerald Body. Id: 11002, amount: 1	
[4/22/23 06:21PM] Received item from O T T E R. Name: Tarn token. Id: 10835, amount: 500000	
[4/22/23 06:26PM] Gave item to Author. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:26PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 350000	
[4/22/23 06:29PM] Gave item to Author. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:29PM] Gave item to Author. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:29PM] Gave item to Author. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:29PM] Gave item to Author. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/22/23 06:29PM] Received item from Author. Name: Tarn token. Id: 10835, amount: 1220000	
[4/22/23 06:29PM] Received item from Author. Name: Solar Hood. Id: 15645, amount: 1	
[4/22/23 06:29PM] Received item from Author. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/22/23 06:29PM] Received item from Author. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/22/23 06:29PM] Received item from Author. Name: Solar Robe Bottom. Id: 15647, amount: 1	
[4/23/23 04:42PM] Gave item to 2147m. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/23/23 04:42PM] Gave item to 2147m. Name: Transfer Crystal. Id: 8788, amount: 1	
[4/23/23 04:42PM] Received item from 2147m. Name: Tarn token. Id: 10835, amount: 400000	
