[4/16/23 02:02PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/16/23 03:54PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/16/23 05:19PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/16/23 08:27PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/17/23 06:43AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/17/23 10:09AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/17/23 11:27AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/17/23 06:33PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/18/23 06:16PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/18/23 06:17PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/18/23 06:17PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/18/23 08:33PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 06:24AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:42AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:43AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:45AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:47AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:58AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 08:07AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 09:07AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 09:15AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 11:27AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 11:27AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:05PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:11PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:11PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:14PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:16PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:17PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:28PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 12:29PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 01:29PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 01:29PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/19/23 07:04PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 04:54AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 12:37PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 12:37PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 03:19PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 03:19PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 03:24PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 03:24PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/20/23 07:17PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 06:09AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 08:41AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 08:41AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 01:09PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 01:09PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 03:16PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 03:16PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 03:17PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 03:17PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 04:31PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 04:32PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 04:33PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 04:34PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/21/23 08:37PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 04:53AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:24AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:24AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:52AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:52AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:54AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 09:54AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 10:04AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 10:04AM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 10:07AM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 04:03PM] Login from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
[4/22/23 08:57PM] Logout with password adoptionLogout from host 72.184.99.49, serial number: 30-9C-23-AB-69-8F, mac address:Default string20220601155332.000000-300	
