[4/22/23 09:46AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/22/23 09:46AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/22/23 09:46AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/22/23 09:46AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/22/23 09:46AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/22/23 09:59AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/22/23 09:59AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/22/23 10:03AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/22/23 10:20AM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
[4/22/23 10:20AM] Player dropped item: Blurite Staff, id: 22174, amount: 1	
[4/22/23 10:20AM] Player dropped item: Blurite Staff, id: 22174, amount: 1	
[4/22/23 10:20AM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
[4/22/23 10:20AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/22/23 10:20AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 10:20AM] Player dropped item: Blurite Body, id: 19985, amount: 1	
[4/22/23 10:20AM] Player dropped item: Bronze pickaxe, id: 1265, amount: 1	
[4/22/23 04:15PM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 04:19PM] Player dropped item: Imperial helm, id: 20086, amount: 1	
[4/22/23 04:23PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 04:23PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 04:24PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 04:24PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 04:49PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 09:19AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 09:19AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/25/23 10:22AM] Player dropped item: Double DR Scroll 30 Minutes, id: 15358, amount: 1	
[4/25/23 10:34AM] Player dropped item: Vial, id: 229, amount: 1	
