[4/15/23 12:37PM] Player dropped item: EXP Potion (Divine), id: 1033, amount: 1	
[4/15/23 12:37PM] Player dropped item: Vial, id: 229, amount: 1	
[4/15/23 12:38PM] Player dropped item: Imperial Staff, id: 18629, amount: 1	
[4/15/23 12:39PM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/15/23 02:11PM] Player dropped item: Vial, id: 229, amount: 1	
[4/15/23 02:11PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 04:30PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/18/23 04:37PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/21/23 02:47PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/21/23 02:47PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/21/23 02:47PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/21/23 02:47PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 06:11PM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 04:50PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 04:54PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
