[4/19/23 02:15PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/19/23 02:15PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/19/23 02:15PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/19/23 02:18PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/19/23 02:25PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/19/23 02:41PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/19/23 02:41PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/19/23 02:41PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/19/23 02:41PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/19/23 02:41PM] Player dropped item: Super restore (4), id: 3024, amount: 1	
[4/19/23 02:55PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/20/23 03:36PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/27/23 03:42PM] Player dropped item: Godly Boots, id: 14053, amount: 1	
[4/27/23 03:44PM] Player dropped item: Aberrant Boots, id: 8334, amount: 1	
