[4/21/23 12:39PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/21/23 12:40PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/21/23 12:40PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/21/23 12:41PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/21/23 12:41PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/21/23 12:41PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/21/23 12:41PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/21/23 12:41PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/21/23 12:44PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/21/23 12:44PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/21/23 12:44PM] Player dropped item: Blurite Gloves, id: 19988, amount: 1	
[4/21/23 12:49PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/21/23 12:49PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/21/23 01:05PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 01:05PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 01:05PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 01:18PM] Player dropped item: Super restore (4), id: 3025, amount: 100	
[4/21/23 01:18PM] Player dropped item: Fury shark, id: 17818, amount: 100	
[4/21/23 01:21PM] Player dropped item: Lava bones, id: 2023, amount: 25	
[4/21/23 01:29PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
