[4/21/23 01:15PM] Player dropped item: Tarn token, id: 10835, amount: 154	
[4/21/23 01:57PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 01:57PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 01:57PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 01:57PM] Player dropped item: Lava bones, id: 2023, amount: 95	
[4/21/23 01:58PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 02:23PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 02:23PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 03:55PM] Player dropped item: Lava bones, id: 2023, amount: 3	
[4/21/23 04:14PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 04:14AM] Player dropped item: Mystic boots, id: 23025, amount: 1	
