[4/20/23 09:00AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/20/23 09:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 09:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 09:00AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 09:01AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/20/23 09:01AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/20/23 09:01AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/20/23 09:01AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/20/23 09:01AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/20/23 09:03AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/20/23 09:03AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/20/23 09:07AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/20/23 09:07AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/20/23 09:09AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/21/23 01:44AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 01:47AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
