[4/16/23 02:47AM] Player dropped item: Lava bones, id: 2023, amount: 40	
[4/16/23 02:47AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 02:47AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 02:47AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 02:47AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 02:48AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 02:55AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 08:41AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/16/23 08:41AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/16/23 08:45AM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 09:01AM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 09:22AM] Player dropped item: Imperial Whip, id: 18750, amount: 1	
[4/16/23 09:30AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 05:58AM] Player dropped item: Mystic body, id: 23022, amount: 1	
[4/27/23 04:05AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/27/23 04:05AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/27/23 04:05AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/27/23 04:05AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/27/23 04:05AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/27/23 04:07AM] Player dropped item: Blurite Staff, id: 22174, amount: 1	
[4/27/23 04:07AM] Player dropped item: Blurite Staff, id: 22174, amount: 1	
[4/27/23 04:07AM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
