[4/20/23 05:05PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/20/23 05:06PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/20/23 05:06PM] Player dropped item: Blurite Body, id: 19985, amount: 1	
[4/22/23 11:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 11:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 11:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 11:41AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 11:41AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/22/23 12:01PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
