[4/20/23 09:18PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/20/23 09:18PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/20/23 09:18PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/20/23 09:19PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/20/23 09:19PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/20/23 09:19PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/20/23 09:19PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/20/23 09:25PM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 09:25PM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 09:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 11:36PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/26/23 11:57AM] Player dropped item: Sacred Gloves, id: 23137, amount: 1	
[4/26/23 12:39PM] Player dropped item: Sinful Bottom, id: 14734, amount: 1	
[4/27/23 03:55AM] Player dropped item: Zircon (Warrior), id: 23094, amount: 1	
[4/27/23 08:27AM] Player dropped item: Fury shark, id: 17817, amount: 1	
[4/27/23 10:15AM] Player dropped item: Fury shark, id: 17817, amount: 1	
[4/27/23 10:37AM] Player dropped item: Fury shark, id: 17817, amount: 1	
[4/27/23 11:04AM] Player dropped item: Fury shark, id: 17817, amount: 1	
[4/27/23 11:05AM] Player dropped item: Super restore (1), id: 3030, amount: 1	
[4/27/23 11:05AM] Player dropped item: Clean Larith, id: 777, amount: 1	
[4/27/23 11:05AM] Player dropped item: Clean Larith, id: 777, amount: 1	
[4/27/23 11:05AM] Player dropped item: Clean Larith, id: 777, amount: 1	
