[4/16/23 09:57PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 09:57PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/16/23 09:57PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 09:57PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 09:57PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 09:59PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 09:59PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 09:59PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 10:02PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/16/23 10:03PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 10:03PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 10:03PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 10:03PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 10:03PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 10:06PM] Player dropped item: Blurite Bow, id: 22175, amount: 1	
[4/16/23 10:06PM] Player dropped item: Blurite Bow, id: 22175, amount: 1	
[4/16/23 10:06PM] Player dropped item: Blurite Bow, id: 22175, amount: 1	
[4/17/23 05:55AM] Player dropped item: Clean Rosocely, id: 795, amount: 1	
[4/17/23 05:56AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 05:56AM] Player dropped item: Imperial Staff, id: 18629, amount: 1	
[4/17/23 06:29AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 07:07AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/17/23 09:57AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/19/23 12:27AM] Player dropped item: Grapevine, id: 945, amount: 1	
[4/19/23 12:27AM] Player dropped item: Phranium, id: 1009, amount: 1	
[4/19/23 01:30AM] Player dropped item: $10 Bond, id: 23057, amount: 1463	
[4/19/23 01:30AM] Player dropped item: Owner's Attachment, id: 22110, amount: 1	
[4/21/23 09:58PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/21/23 09:59PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/23/23 12:52AM] Player dropped item: Nagi Amulet, id: 21068, amount: 1	
[4/25/23 02:17PM] Player dropped item: Vial, id: 229, amount: 1	
