[4/16/23 01:06AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/16/23 01:06AM] Player dropped item: Blurite Bow, id: 22175, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 01:06AM] Player dropped item: Blurite Boots, id: 19989, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 01:06AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 01:07AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 01:07AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 01:07AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 02:10AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 09:52AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 11:10AM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 11:53AM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 12:05PM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 12:10PM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 12:17PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 08:33AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 10:35AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:04AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:58AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 12:18PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 12:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 12:29PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 12:42PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 10:12AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 10:24AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 10:35AM] Player dropped item: Vial, id: 229, amount: 1	
