[4/17/23 12:59PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/17/23 12:59PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/17/23 12:59PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/17/23 01:01PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/17/23 01:01PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/17/23 01:01PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/17/23 01:06PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/17/23 01:06PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/17/23 01:07PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/17/23 01:07PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/17/23 01:11PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/17/23 01:11PM] Player dropped item: Blurite Staff, id: 22174, amount: 1	
[4/17/23 01:11PM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
[4/17/23 01:13PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
