[4/19/23 12:47PM] Player dropped item: Imperial legs, id: 20088, amount: 1	
[4/19/23 01:13PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/19/23 02:42PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 03:00PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 03:13PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 03:49PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 03:59PM] Player dropped item: Vial, id: 229, amount: 1	
[4/26/23 10:53AM] Player dropped item: Clean Larith, id: 777, amount: 1	
[4/26/23 01:47PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/26/23 01:48PM] Player dropped item: Sanctum Golem Pet, id: 19481, amount: 1	
[4/26/23 02:00PM] Player dropped item: Solar Staff, id: 22135, amount: 1	
