[4/18/23 10:50AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/18/23 11:07AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:12AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:24AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/18/23 11:33AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:39AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 11:55AM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 02:04PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 02:16PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 02:17PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 02:17PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 02:26PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 12:22PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 12:28PM] Player dropped item: Lava bones, id: 2023, amount: 8	
[4/20/23 06:11AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 06:49AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 06:53AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 07:09AM] Player dropped item: Vial, id: 229, amount: 1	
[4/20/23 07:16AM] Player dropped item: Vial, id: 229, amount: 1	
