[4/16/23 07:05PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 07:05PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 07:06PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 07:06PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/17/23 12:37PM] Player dropped item: Lava bones, id: 2023, amount: 1352	
[4/17/23 06:21PM] Player dropped item: Lava bones, id: 2023, amount: 1085	
[4/22/23 12:33PM] Player dropped item: Vial, id: 229, amount: 1	
