[4/16/23 04:50PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 04:50PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 04:50PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 04:53PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 04:55PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 04:57PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 05:04PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 05:28PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 05:32PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/16/23 05:32PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/16/23 05:32PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/16/23 05:32PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 05:38PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 05:57PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 05:57PM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 06:25PM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 03:15PM] Player dropped item: Vial, id: 229, amount: 1	
[4/17/23 03:20PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
