[4/22/23 05:32AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/22/23 05:32AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/22/23 05:57AM] Player dropped item: Vial, id: 229, amount: 1	
[4/22/23 06:01AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/22/23 06:01AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/22/23 06:16AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/24/23 05:30AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/24/23 05:31AM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 02:47PM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 02:59PM] Player dropped item: Vial, id: 229, amount: 1	
[4/24/23 03:00PM] Player dropped item: Vial, id: 229, amount: 1	
