[4/21/23 08:53PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/21/23 08:55PM] Player dropped item: Blurite Helm, id: 19984, amount: 1	
[4/21/23 08:55PM] Player dropped item: Blurite Body, id: 19985, amount: 1	
[4/21/23 08:55PM] Player dropped item: Blurite Legs, id: 19986, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/21/23 08:57PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/21/23 08:59PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/21/23 08:59PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/21/23 08:59PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/21/23 09:02PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/21/23 09:02PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/21/23 09:13PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 09:25PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/21/23 09:46PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 09:46PM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/21/23 10:01PM] Player dropped item: Lava bones, id: 2023, amount: 39	
[4/21/23 10:04PM] Player dropped item: Lava bones, id: 2023, amount: 28	
[4/21/23 10:21PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 10:21PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 10:23PM] Player dropped item: Lava bones, id: 2023, amount: 5	
[4/21/23 10:42PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 11:00PM] Player dropped item: Vial, id: 229, amount: 1	
[4/21/23 11:04PM] Player dropped item: Lava bones, id: 2023, amount: 50	
[4/21/23 11:06PM] Player dropped item: Lava bones, id: 2023, amount: 7	
[4/23/23 11:10AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:20AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 11:22AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:22AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:22AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:22AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:41AM] Player dropped item: Vial, id: 229, amount: 1	
[4/23/23 11:51AM] Player dropped item: Vial, id: 229, amount: 1	
