[4/16/23 01:19AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/16/23 01:19AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/16/23 01:22AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/16/23 01:22AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/16/23 01:22AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/16/23 01:27AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/16/23 01:27AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/16/23 01:31AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/16/23 01:31AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/16/23 01:32AM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 01:35AM] Player dropped item: Lava bones, id: 2023, amount: 128	
[4/16/23 05:10AM] Player dropped item: Vial, id: 229, amount: 1	
[4/16/23 05:10AM] Player dropped item: Vial, id: 229, amount: 1	
