[4/19/23 04:16PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/19/23 04:16PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/19/23 04:17PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/19/23 04:17PM] Player dropped item: Blurite Body, id: 19985, amount: 1	
[4/19/23 04:17PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/19/23 04:17PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/19/23 04:18PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/19/23 04:18PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/19/23 04:18PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/19/23 04:19PM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/19/23 04:19PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/19/23 04:28PM] Player dropped item: Blurite Gloves, id: 19988, amount: 1	
[4/19/23 05:59PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/19/23 06:02PM] Player dropped item: Zinq shield, id: 23056, amount: 1	
[4/19/23 06:09PM] Player dropped item: Zinq sword, id: 23055, amount: 1	
[4/19/23 06:24PM] Player dropped item: Inferno Shield, id: 13306, amount: 1	
[4/19/23 06:30PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/21/23 05:40PM] Player dropped item: Solar Hood, id: 15645, amount: 1	
