[4/19/23 02:22AM] Player dropped item: Varth Helm, id: 22145, amount: 1	
[4/19/23 02:22AM] Player dropped item: Solar Hood, id: 15645, amount: 1	
[4/19/23 02:22AM] Player dropped item: Executive Helm, id: 4684, amount: 1	
[4/19/23 02:22AM] Player dropped item: Tyrant Body, id: 14192, amount: 1	
[4/19/23 02:22AM] Player dropped item: Tyrant Helm, id: 14190, amount: 1	
[4/19/23 02:22AM] Player dropped item: Tyrant Legs, id: 14194, amount: 1	
[4/19/23 02:22AM] Player dropped item: Tyrant Boots, id: 14198, amount: 1	
[4/19/23 02:22AM] Player dropped item: Tyrant Wings, id: 14200, amount: 1	
[4/19/23 02:23AM] Player dropped item: Tyrant Aura, id: 12608, amount: 1	
[4/19/23 02:23AM] Player dropped item: Tyrant Gloves, id: 14196, amount: 1	
[4/19/23 02:23AM] Player dropped item: Tyrant Aura, id: 12608, amount: 1	
[4/19/23 02:23AM] Player dropped item: Varth Body, id: 22146, amount: 1	
[4/19/23 02:23AM] Player dropped item: Varth Legs, id: 22147, amount: 1	
[4/19/23 02:23AM] Player dropped item: Varth Boots, id: 22149, amount: 1	
[4/19/23 02:23AM] Player dropped item: Varth Gloves, id: 22150, amount: 1	
