[4/20/23 09:08AM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/20/23 09:08AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/20/23 09:20AM] Player dropped item: Lava bones, id: 2023, amount: 8206	
[4/20/23 09:27AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/20/23 09:27AM] Player dropped item: Imperial Whip, id: 18750, amount: 1	
[4/20/23 09:28AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/20/23 09:28AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/20/23 09:34AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/20/23 04:52PM] Player dropped item: Lava bones, id: 2023, amount: 5783	
