[4/18/23 09:32PM] Player dropped item: Starter Body, id: 704, amount: 1	
[4/18/23 09:32PM] Player dropped item: Starter Legs, id: 705, amount: 1	
[4/18/23 09:32PM] Player dropped item: Starter Helm, id: 703, amount: 1	
[4/18/23 09:37PM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/18/23 09:37PM] Player dropped item: Starter Gloves, id: 19946, amount: 1	
[4/18/23 09:37PM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/18/23 09:49PM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/18/23 09:50PM] Player dropped item: Blurite Katana, id: 14484, amount: 1	
[4/18/23 10:13PM] Player dropped item: Starter Defender, id: 19914, amount: 1	
[4/18/23 10:16PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 10:19PM] Player dropped item: Starter Cannon, id: 22083, amount: 1	
[4/18/23 10:19PM] Player dropped item: Starter Blade, id: 22084, amount: 1	
[4/18/23 10:20PM] Player dropped item: Vial, id: 229, amount: 1	
[4/18/23 10:22PM] Player dropped item: Starter Staff, id: 22092, amount: 1	
[4/18/23 10:40PM] Player dropped item: Vial, id: 229, amount: 1	
[4/19/23 07:29AM] Player dropped item: Starter Amulet, id: 23089, amount: 1	
[4/19/23 07:32AM] Player dropped item: Blurite Ring, id: 19992, amount: 1	
[4/19/23 07:33AM] Player dropped item: Blurite Legs, id: 19986, amount: 1	
