[4/17/23 12:07AM] Player dropped item: Blurite Helm, id: 19984, amount: 1	
[4/17/23 12:08AM] Player dropped item: Starter Boots, id: 19945, amount: 1	
[4/17/23 12:08AM] Player dropped item: Starter Cape, id: 19944, amount: 1	
[4/17/23 12:08AM] Player dropped item: Starter Ring, id: 23091, amount: 1	
[4/17/23 12:27AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/17/23 12:36AM] Player dropped item: Imperial gloves, id: 20091, amount: 1	
[4/17/23 08:27AM] Player dropped item: Imperial Minigun, id: 18636, amount: 1	
[4/23/23 05:09AM] Player dropped item: Forsaken Legs, id: 14912, amount: 1	
[4/23/23 05:10AM] Player dropped item: Forsaken Sword, id: 14915, amount: 1	
[4/23/23 05:10AM] Player dropped item: Sacred Gloves, id: 23137, amount: 1	
[4/23/23 05:10AM] Player dropped item: Nagi Helm, id: 21062, amount: 1	
[4/23/23 05:33AM] Player dropped item: Unknown Cape, id: 21045, amount: 1	
[4/23/23 05:33AM] Player dropped item: Titan Helm, id: 8803, amount: 1	
