[4/16/23 03:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:03PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ok	
[4/16/23 03:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ok	
[4/16/23 03:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:09PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ok	
[4/16/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:35PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ok	
[4/16/23 03:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ok	
[4/16/23 03:57PM] Player picked up item: Coin, id: 995, amount: 600, owner: Ok	
