[4/19/23 04:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dujamaisvue	
[4/19/23 04:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Coin, id: 995, amount: 600, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Coin, id: 995, amount: 800, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Dujamaisvue	
[4/19/23 04:18PM] Player picked up item: Coin, id: 995, amount: 400, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Coin, id: 995, amount: 400, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dujamaisvue	
[4/19/23 04:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:21PM] Player picked up item: Coin, id: 995, amount: 300, owner: Dujamaisvue	
[4/19/23 04:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dujamaisvue	
[4/19/23 04:21PM] Player picked up item: Coin, id: 995, amount: 600, owner: Dujamaisvue	
[4/19/23 04:21PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Dujamaisvue	
[4/19/23 04:21PM] Player picked up item: Coin, id: 995, amount: 300, owner: Dujamaisvue	
