[4/21/23 11:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fk	
[4/21/23 11:39PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fk	
[4/22/23 04:33PM] Player picked up item: Coin, id: 995, amount: 2134162, owner: Fk	
[4/22/23 04:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fk	
[4/22/23 04:34PM] Player picked up item: Coin, id: 995, amount: 4113754, owner: Fk	
[4/22/23 04:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fk	
[4/22/23 04:35PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fk	
[4/22/23 04:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fk	
[4/22/23 04:37PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fk	
[4/22/23 04:37PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fk	
[4/22/23 04:38PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Fk	
[4/22/23 04:38PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Fk	
[4/22/23 06:34PM] Player picked up item: Coin, id: 995, amount: 2352831, owner: Fk	
[4/22/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fk	
[4/22/23 06:35PM] Player picked up item: Coin, id: 995, amount: 4398700, owner: Fk	
[4/22/23 06:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fk	
[4/22/23 06:36PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fk	
[4/22/23 06:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fk	
