[4/16/23 10:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 10:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 10:55AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Coin, id: 995, amount: 100, owner: Rhiannon	
[4/16/23 10:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rhiannon	
[4/16/23 11:04AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Boabie	
[4/16/23 11:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Boabie	
[4/17/23 12:07AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Rhiannon	
[4/17/23 12:36AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Rhiannon	
[4/17/23 07:33AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Ruthie	
[4/17/23 07:33AM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Ruthie	
[4/17/23 07:33AM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Ruthie	
[4/17/23 08:26AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Mana	
