[4/15/23 08:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mydkisfurry	
[4/15/23 08:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mydkisfurry	
[4/15/23 08:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Coin, id: 995, amount: 100, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mydkisfurry	
[4/15/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mydkisfurry	
[4/15/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mydkisfurry	
[4/15/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mydkisfurry	
[4/15/23 08:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mydkisfurry	
[4/15/23 08:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mydkisfurry	
