[4/16/23 05:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:29PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Froggers	
[4/16/23 05:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:33PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:33PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Froggers	
[4/16/23 05:36PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
[4/16/23 05:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Froggers	
[4/16/23 05:37PM] Player picked up item: Coin, id: 995, amount: 200, owner: Froggers	
