[4/16/23 02:27AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: You2	
[4/16/23 02:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: You2	
[4/16/23 04:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: You2	
[4/16/23 04:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: You2	
[4/16/23 04:47AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: You2	
[4/16/23 04:48AM] Player picked up item: Coin, id: 995, amount: 3793233, owner: You2	
[4/16/23 04:48AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: You2	
[4/16/23 05:00AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: You2	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 2193351, owner: You2	
[4/16/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: You2	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 4460551, owner: You2	
[4/16/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: You2	
[4/16/23 05:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: You2	
[4/16/23 05:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: You2	
[4/16/23 05:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: You2	
[4/16/23 06:33AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: You2	
[4/16/23 06:33AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: You2	
[4/16/23 08:24AM] Player picked up item: Coin, id: 995, amount: 2630160, owner: You2	
[4/16/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: You2	
[4/16/23 08:34AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: You2	
[4/16/23 08:34AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: You2	
[4/16/23 10:25AM] Player picked up item: Coin, id: 995, amount: 2129292, owner: You2	
[4/16/23 10:25AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: You2	
