[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 1 3	
[4/18/23 06:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: 1 3	
[4/18/23 06:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 1 3	
[4/18/23 06:02PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: 1 3	
[4/18/23 06:04PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: 1 3	
[4/18/23 06:04PM] Player picked up item: Coin, id: 995, amount: 600, owner: 1 3	
[4/18/23 06:13PM] Player picked up item: Coin, id: 995, amount: 1633010, owner: 1 3	
[4/18/23 06:13PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 1 3	
[4/18/23 06:21PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: 1 3	
