[4/20/23 02:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:50PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Coin, id: 995, amount: 200, owner: Nerd	
[4/20/23 02:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Nerd	
[4/20/23 02:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nerd	
