[4/15/23 01:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ben	
[4/15/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ben	
