[4/22/23 05:09PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shadowunit	
[4/22/23 05:09PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
[4/22/23 05:10PM] Player picked up item: Coin, id: 995, amount: 700, owner: Shadowunit	
[4/22/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Shadowunit	
[4/22/23 05:14PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Shadowunit	
[4/22/23 05:21PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Shadowunit	
[4/22/23 05:21PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Shadowunit	
[4/22/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shadowunit	
[4/22/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Shadowunit	
[4/22/23 05:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Shadowunit	
[4/22/23 05:36PM] Player picked up item: Lava bones, id: 2023, amount: 680, owner: Zshana	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Shadowunit	
[4/22/23 05:52PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Shadowunit	
[4/22/23 05:54PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Shadowunit	
[4/22/23 05:54PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Shadowunit	
[4/22/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Shadowunit	
[4/22/23 05:55PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Shadowunit	
[4/22/23 06:05PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shadowunit	
[4/22/23 06:10PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Shadowunit	
[4/22/23 06:13PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Shadowunit	
[4/22/23 06:16PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:16PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Shadowunit	
[4/22/23 06:16PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Shadowunit	
[4/22/23 06:20PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:20PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:21PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:21PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:21PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:22PM] Player picked up item: Coin, id: 995, amount: 24000, owner: Shadowunit	
[4/22/23 06:22PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:22PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Shadowunit	
[4/22/23 06:24PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:25PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:25PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:26PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:27PM] Player picked up item: Coin, id: 995, amount: 20000, owner: Shadowunit	
[4/22/23 06:27PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
[4/22/23 06:27PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
[4/22/23 06:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shadowunit	
[4/22/23 06:29PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Shadowunit	
[4/22/23 06:30PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Shadowunit	
[4/22/23 06:32PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Shadowunit	
[4/22/23 06:34PM] Player picked up item: Coin, id: 995, amount: 2216576, owner: Shadowunit	
[4/22/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shadowunit	
[4/22/23 06:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Shadowunit	
[4/22/23 06:36PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Shadowunit	
