[4/15/23 05:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Cardano	
[4/15/23 05:01AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Cardano	
[4/15/23 05:02AM] Player picked up item: Coin, id: 995, amount: 500, owner: Cardano	
[4/15/23 05:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cardano	
[4/15/23 05:03AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cardano	
[4/15/23 05:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Coin, id: 995, amount: 400, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Coin, id: 995, amount: 400, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Cardano	
[4/15/23 05:04AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cardano	
