[4/17/23 04:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dream	
[4/17/23 04:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dream	
[4/17/23 04:32AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Dream	
[4/17/23 04:40AM] Player picked up item: Coin, id: 995, amount: 1732162, owner: Dream	
[4/17/23 04:40AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dream	
[4/17/23 04:41AM] Player picked up item: Coin, id: 995, amount: 3478246, owner: Dream	
[4/17/23 04:41AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dream	
