[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/17/23 11:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/18/23 12:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/18/23 12:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:01AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/18/23 12:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:02AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:02AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Geno	
[4/18/23 12:02AM] Player picked up item: Coin, id: 995, amount: 100, owner: Geno	
[4/18/23 12:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:03AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Coin, id: 995, amount: 600, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Coin, id: 995, amount: 400, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Coin, id: 995, amount: 400, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Coin, id: 995, amount: 600, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Coin, id: 995, amount: 200, owner: Geno	
[4/18/23 12:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:08AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Coin, id: 995, amount: 300, owner: Geno	
[4/18/23 12:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Geno	
[4/18/23 12:11AM] Player picked up item: Coin, id: 995, amount: 900, owner: Geno	
[4/18/23 12:11AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Geno	
[4/18/23 12:12AM] Player picked up item: Coin, id: 995, amount: 2420570, owner: Geno	
[4/18/23 12:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Geno	
[4/18/23 12:13AM] Player picked up item: Coin, id: 995, amount: 600, owner: Geno	
[4/18/23 12:13AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Geno	
