[4/15/23 06:44AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Rotter	
[4/15/23 06:58AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Rotter	
[4/15/23 06:59AM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Boterkoek	
[4/15/23 07:04AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Rotter	
[4/15/23 07:07AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Rotter	
[4/15/23 07:08AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Rotter	
[4/15/23 07:10AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Rotter	
[4/15/23 10:55AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Rotter	
[4/15/23 10:59AM] Player picked up item: Coin, id: 995, amount: 1455923, owner: Rotter	
[4/15/23 10:59AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rotter	
[4/16/23 05:25AM] Player picked up item: Coin, id: 995, amount: 1726292, owner: Rotter	
[4/16/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rotter	
[4/16/23 05:26AM] Player picked up item: Coin, id: 995, amount: 3411823, owner: Rotter	
[4/16/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Rotter	
[4/16/23 05:28AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Rotter	
[4/16/23 05:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Rotter	
[4/16/23 05:30AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Rotter	
[4/16/23 05:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Rotter	
[4/16/23 05:31AM] Player picked up item: Coin, id: 995, amount: 800, owner: Rotter	
[4/16/23 05:38AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 05:41AM] Player picked up item: Coin, id: 995, amount: 900, owner: Rotter	
[4/16/23 05:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rotter	
[4/16/23 05:50AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Rotter	
[4/16/23 05:54AM] Player picked up item: Coin, id: 995, amount: 1342462, owner: Rotter	
[4/16/23 05:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rotter	
[4/16/23 05:58AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Rotter	
[4/16/23 06:00AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 06:07AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 06:11AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Rotter	
[4/16/23 06:13AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Rotter	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Rotter	
[4/16/23 06:20AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Rotter	
[4/16/23 06:21AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 06:23AM] Player picked up item: Coin, id: 995, amount: 12000, owner: Rotter	
[4/16/23 06:27AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 06:28AM] Player picked up item: Coin, id: 995, amount: 2481816, owner: Rotter	
[4/16/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Rotter	
[4/16/23 06:29AM] Player picked up item: Coin, id: 995, amount: 4407353, owner: Rotter	
[4/16/23 06:29AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Rotter	
[4/16/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Rotter	
[4/16/23 06:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Rotter	
[4/16/23 06:33AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Rotter	
[4/16/23 06:33AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Rotter	
[4/16/23 06:38AM] Player picked up item: Coin, id: 995, amount: 14000, owner: Rotter	
[4/16/23 06:41AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Rotter	
[4/16/23 06:47AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Rotter	
[4/16/23 06:49AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Rotter	
[4/16/23 06:50AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Rotter	
[4/16/23 06:54AM] Player picked up item: Coin, id: 995, amount: 1786780, owner: Rotter	
[4/16/23 06:54AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Rotter	
[4/16/23 06:56AM] Player picked up item: Coin, id: 995, amount: 20000, owner: Rotter	
[4/19/23 12:04PM] Player picked up item: Collector ring, id: 4446, amount: 1, owner: Suh	
[4/19/23 12:04PM] Player picked up item: Collector ring, id: 4446, amount: 1, owner: Suh	
