[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shellshocked	
[4/17/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
[4/17/23 12:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Shellshocked	
[4/17/23 12:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shellshocked	
