[4/21/23 01:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: 420 Vet	
[4/21/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 420 Vet	
[4/21/23 01:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: 420 Vet	
[4/21/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: 420 Vet	
[4/21/23 01:28AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: 420 Vet	
[4/21/23 01:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: 420 Vet	
[4/21/23 01:35AM] Player picked up item: Coin, id: 995, amount: 1812688, owner: 420 Vet	
[4/21/23 01:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 420 Vet	
[4/21/23 02:07AM] Player picked up item: Coin, id: 995, amount: 1551653, owner: 420 Vet	
[4/21/23 02:07AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 420 Vet	
[4/21/23 02:12AM] Player picked up item: Starter Amulet, id: 23089, amount: 1, owner: 420 Vet	
[4/21/23 02:12AM] Player picked up item: Starter Ring, id: 23091, amount: 1, owner: 420 Vet	
[4/21/23 02:29AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 420 Vet	
[4/21/23 02:29AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: 420 Vet	
[4/21/23 10:57AM] Player picked up item: Coin, id: 995, amount: 1500, owner: 420 Vet	
[4/21/23 10:57AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: 420 Vet	
[4/21/23 11:33AM] Player picked up item: Coin, id: 995, amount: 2436932, owner: 420 Vet	
[4/21/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: 420 Vet	
[4/21/23 12:12PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 420 Vet	
[4/21/23 12:12PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: 420 Vet	
