[4/18/23 01:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hara Kiri	
[4/18/23 01:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hara Kiri	
[4/18/23 01:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hara Kiri	
[4/18/23 01:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hara Kiri	
[4/18/23 01:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hara Kiri	
[4/18/23 01:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hara Kiri	
[4/18/23 01:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hara Kiri	
[4/18/23 01:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hara Kiri	
[4/18/23 01:32AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Hara Kiri	
[4/18/23 01:32AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Hara Kiri	
[4/18/23 01:32AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Hara Kiri	
[4/18/23 01:36AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Hara Kiri	
[4/18/23 01:36AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Hara Kiri	
[4/18/23 01:42AM] Player picked up item: Coin, id: 995, amount: 1360155, owner: Hara Kiri	
[4/18/23 01:42AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Hara Kiri	
[4/18/23 01:42AM] Player picked up item: Coin, id: 995, amount: 3095434, owner: Hara Kiri	
[4/18/23 01:42AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Hara Kiri	
[4/18/23 01:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Hara Kiri	
[4/18/23 01:43AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Hara Kiri	
[4/18/23 01:52AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Hara Kiri	
[4/18/23 01:52AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Hara Kiri	
[4/18/23 01:59AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Hara Kiri	
[4/18/23 01:59AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Hara Kiri	
[4/18/23 01:59AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Hara Kiri	
[4/18/23 02:08AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Hara Kiri	
[4/18/23 02:10AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Hara Kiri	
[4/18/23 02:10AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Hara Kiri	
[4/18/23 02:10AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Hara Kiri	
[4/18/23 02:11AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Hara Kiri	
[4/18/23 02:12AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Hara Kiri	
[4/18/23 02:12AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Hara Kiri	
[4/18/23 02:13AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Hara Kiri	
