[4/17/23 01:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Toby410	
[4/17/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Toby410	
[4/17/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:43PM] Player picked up item: Coin, id: 995, amount: 100, owner: Toby410	
[4/17/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: Toby410	
[4/17/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Toby410	
[4/17/23 01:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:47PM] Player picked up item: Coin, id: 995, amount: 400, owner: Toby410	
[4/17/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Toby410	
[4/17/23 01:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:48PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:48PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:49PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Coin, id: 995, amount: 800, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Coin, id: 995, amount: 200, owner: Toby410	
[4/17/23 01:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:51PM] Player picked up item: Coin, id: 995, amount: 300, owner: Toby410	
[4/17/23 01:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 01:51PM] Player picked up item: Coin, id: 995, amount: 300, owner: Toby410	
[4/17/23 01:51PM] Player picked up item: Coin, id: 995, amount: 300, owner: Toby410	
[4/17/23 01:52PM] Player picked up item: Coin, id: 995, amount: 600, owner: Toby410	
[4/17/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Toby410	
[4/17/23 01:52PM] Player picked up item: Coin, id: 995, amount: 300, owner: Toby410	
[4/17/23 01:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Toby410	
[4/17/23 02:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Toby410	
[4/17/23 02:03PM] Player picked up item: Coin, id: 995, amount: 1470837, owner: Toby410	
