[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:36AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ba Ba	
[4/18/23 10:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
[4/18/23 10:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ba Ba	
