[4/15/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kibou	
[4/15/23 11:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Sharpy0123	
[4/15/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/15/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/15/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/15/23 11:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:38PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:38PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:38PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Coin, id: 995, amount: 300, owner: Sharpy0123	
[4/16/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sharpy0123	
