[4/21/23 08:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:10AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tom	
[4/21/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:17AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:18AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tom	
[4/21/23 08:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
[4/21/23 08:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tom	
[4/21/23 08:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tom	
