[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shore	
[4/18/23 06:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shore	
[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shore	
[4/18/23 06:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Igotplugz	
[4/18/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Igotplugz	
[4/18/23 06:43PM] Player picked up item: Coin, id: 995, amount: 1445077, owner: Shore	
[4/18/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Shore	
[4/18/23 06:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Shore	
[4/18/23 06:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Shore	
[4/18/23 06:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Shore	
