[4/18/23 02:23PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Emordnys	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bearboy	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bearboy	
[4/18/23 02:31PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Bearboy	
[4/18/23 02:34PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Bearboy	
[4/18/23 02:42PM] Player picked up item: Coin, id: 995, amount: 2245522, owner: Bearboy	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bearboy	
