[4/19/23 07:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:30PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Coin, id: 995, amount: 400, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Coin, id: 995, amount: 400, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:34PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: O T T E R	
[4/19/23 07:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: O T T E R	
[4/19/23 07:35PM] Player picked up item: Coin, id: 995, amount: 2700, owner: O T T E R	
[4/19/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 14, owner: O T T E R	
[4/19/23 07:35PM] Player picked up item: Coin, id: 995, amount: 600, owner: O T T E R	
[4/19/23 07:35PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: O T T E R	
[4/19/23 07:42PM] Player picked up item: Coin, id: 995, amount: 600, owner: O T T E R	
[4/19/23 07:42PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: O T T E R	
[4/19/23 07:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: O T T E R	
[4/19/23 07:42PM] Player picked up item: Coin, id: 995, amount: 300, owner: O T T E R	
[4/19/23 07:43PM] Player picked up item: Coin, id: 995, amount: 600, owner: O T T E R	
[4/19/23 07:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: O T T E R	
[4/19/23 07:43PM] Player picked up item: Coin, id: 995, amount: 300, owner: O T T E R	
