[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Freefame	
[4/18/23 01:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 160, owner: Zshana	
[4/18/23 01:43PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 07:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 07:23AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 07:25AM] Player picked up item: Coin, id: 995, amount: 2481798, owner: Freefame	
[4/19/23 07:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 07:27AM] Player picked up item: Coin, id: 995, amount: 2686529, owner: Freefame	
[4/19/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/19/23 07:48AM] Player picked up item: Coin, id: 995, amount: 1365715, owner: Freefame	
[4/19/23 07:48AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 08:17AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 08:47AM] Player picked up item: Coin, id: 995, amount: 1273281, owner: Freefame	
[4/19/23 08:49AM] Player picked up item: Coin, id: 995, amount: 3311586, owner: Freefame	
[4/19/23 08:49AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/19/23 10:45AM] Player picked up item: Coin, id: 995, amount: 1903154, owner: Freefame	
[4/19/23 10:45AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 11:15AM] Player picked up item: Coin, id: 995, amount: 1265975, owner: Freefame	
[4/19/23 11:15AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 11:16AM] Player picked up item: Coin, id: 995, amount: 2947851, owner: Freefame	
[4/19/23 11:16AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Freefame	
[4/19/23 11:17AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/19/23 11:17AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/19/23 11:21AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 11:21AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 11:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 1884431, owner: Freefame	
[4/19/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 4223870, owner: Freefame	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Freefame	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Freefame	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 2219933, owner: Freefame	
[4/19/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Freefame	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 2520843, owner: Freefame	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Freefame	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Freefame	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Freefame	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 1313887, owner: Freefame	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Freefame	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Freefame	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Freefame	
[4/19/23 01:15PM] Player picked up item: Coin, id: 995, amount: 2093060, owner: Freefame	
