[4/19/23 11:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Pr	
[4/19/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pr	
[4/19/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:55AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pr	
[4/19/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:56AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Pr	
[4/19/23 11:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pr	
[4/19/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Pr	
[4/19/23 11:56AM] Player picked up item: Coin, id: 995, amount: 200, owner: Pr	
[4/19/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Coin, id: 995, amount: 300, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Coin, id: 995, amount: 300, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pr	
[4/19/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 600, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Pr	
[4/19/23 11:58AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pr	
