[4/15/23 06:11AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:11AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:11AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:13AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: James	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: James	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:14AM] Player picked up item: Coin, id: 995, amount: 200, owner: James	
[4/15/23 06:14AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: James	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
[4/15/23 06:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: James	
