[4/15/23 02:04AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ao	
[4/15/23 02:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:09AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ao	
[4/15/23 02:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ao	
[4/15/23 02:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Ao	
[4/15/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ao	
[4/15/23 02:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ao	
[4/15/23 02:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ao	
[4/15/23 02:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ao	
[4/15/23 02:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ao	
[4/15/23 02:26AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ao	
[4/15/23 02:26AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ao	
[4/15/23 02:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Ao	
