[4/20/23 01:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Big Daddy	
[4/20/23 01:47AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Big Daddy	
[4/20/23 01:49AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Big Daddy	
[4/20/23 01:49AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Big Daddy	
[4/20/23 01:54AM] Player picked up item: Coin, id: 995, amount: 800, owner: Big Daddy	
[4/20/23 01:56AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Big Daddy	
[4/20/23 01:59AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Big Daddy	
[4/20/23 01:59AM] Player picked up item: Coin, id: 995, amount: 500, owner: Big Daddy	
[4/20/23 02:04AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Big Daddy	
[4/20/23 02:04AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Big Daddy	
[4/20/23 02:08AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Big Daddy	
[4/20/23 02:08AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Big Daddy	
[4/20/23 02:10AM] Player picked up item: Coin, id: 995, amount: 700, owner: Big Daddy	
[4/20/23 02:12AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Big Daddy	
[4/20/23 02:15AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Big Daddy	
[4/20/23 02:15AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Big Daddy	
[4/20/23 02:18AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Big Daddy	
[4/20/23 02:21AM] Player picked up item: Coin, id: 995, amount: 1632789, owner: Big Daddy	
[4/20/23 02:23AM] Player picked up item: Coin, id: 995, amount: 4244008, owner: Big Daddy	
[4/20/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Big Daddy	
[4/20/23 02:25AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Big Daddy	
[4/20/23 02:25AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Big Daddy	
[4/20/23 02:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Big Daddy	
[4/20/23 02:31AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Big Daddy	
[4/20/23 02:39AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Big Daddy	
[4/20/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Big Daddy	
[4/20/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Big Daddy	
[4/20/23 02:44AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Big Daddy	
[4/20/23 02:49AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Big Daddy	
[4/20/23 02:49AM] Player picked up item: Zinq sword, id: 23055, amount: 1, owner: Big Daddy	
[4/20/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Big Daddy	
[4/20/23 02:53AM] Player picked up item: Coin, id: 995, amount: 1995500, owner: Big Daddy	
[4/20/23 03:51AM] Player picked up item: Coin, id: 995, amount: 1813426, owner: Big Daddy	
[4/20/23 03:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Big Daddy	
[4/22/23 03:05AM] Player picked up item: Coin, id: 995, amount: 2218408, owner: Big Daddy	
[4/22/23 03:05AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Big Daddy	
[4/22/23 03:11AM] Player picked up item: Revenant Legs, id: 18003, amount: 1, owner: Big Daddy	
[4/22/23 03:42AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Big Daddy	
[4/22/23 03:42AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Big Daddy	
[4/22/23 03:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Big Daddy	
[4/22/23 03:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Big Daddy	
