[4/15/23 03:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Don Chapo	
[4/15/23 03:46AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Don Chapo	
[4/15/23 03:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 100, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Coin, id: 995, amount: 200, owner: Don Chapo	
[4/15/23 03:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Don Chapo	
[4/15/23 03:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Don Chapo	
[4/15/23 03:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Don Chapo	
[4/15/23 03:50AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Don Chapo	
[4/15/23 03:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Don Chapo	
