[4/20/23 05:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Seittit Gib	
[4/20/23 05:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:58AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Seittit Gib	
[4/20/23 05:58AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Seittit Gib	
[4/20/23 06:00AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Seittit Gib	
[4/20/23 06:00AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Seittit Gib	
[4/20/23 12:34PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:34PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:35PM] Player picked up item: Coin, id: 995, amount: 14000, owner: Seittit Gib	
[4/20/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Seittit Gib	
[4/20/23 12:35PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Seittit Gib	
[4/20/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Seittit Gib	
[4/20/23 05:21PM] Player picked up item: Coin, id: 995, amount: 4286430, owner: Seittit Gib	
[4/20/23 05:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Seittit Gib	
[4/20/23 05:22PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Seittit Gib	
[4/20/23 05:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Seittit Gib	
[4/20/23 11:05PM] Player picked up item: Coin, id: 995, amount: 1640450, owner: Seittit Gib	
[4/20/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Seittit Gib	
[4/21/23 12:22PM] Player picked up item: Coin, id: 995, amount: 300, owner: Seittit Gib	
[4/21/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Seittit Gib	
[4/21/23 12:22PM] Player picked up item: Coin, id: 995, amount: 200, owner: Seittit Gib	
[4/21/23 12:22PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Seittit Gib	
[4/21/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Seittit Gib	
[4/21/23 12:23PM] Player picked up item: Coin, id: 995, amount: 300, owner: Seittit Gib	
