[4/19/23 01:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Markwhite93	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 100, owner: Markwhite93	
[4/19/23 01:05PM] Player picked up item: Coin, id: 995, amount: 600, owner: Markwhite93	
[4/19/23 01:06PM] Player picked up item: Coin, id: 995, amount: 200, owner: Markwhite93	
[4/19/23 01:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Markwhite93	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zane Rosse	
[4/19/23 01:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 01:07PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zane Rosse	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 100, owner: Zane Rosse	
[4/19/23 01:08PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:08PM] Player picked up item: Coin, id: 995, amount: 300, owner: Zane Rosse	
[4/19/23 01:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zane Rosse	
[4/19/23 01:19PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zane Rosse	
[4/19/23 01:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Zane Rosse	
[4/19/23 01:22PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Zane Rosse	
[4/19/23 01:24PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Zane Rosse	
[4/19/23 01:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 01:24PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Zane Rosse	
[4/19/23 01:25PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Zane Rosse	
[4/19/23 01:25PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Zane Rosse	
[4/19/23 01:25PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 01:27PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Zane Rosse	
[4/19/23 01:27PM] Player picked up item: Coin, id: 995, amount: 500, owner: Zane Rosse	
[4/19/23 01:46PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Zane Rosse	
[4/19/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zane Rosse	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Zane Rosse	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
[4/19/23 10:39PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Zane Rosse	
[4/19/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zane Rosse	
