[4/15/23 04:59AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Sparky	
[4/15/23 04:59AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Sparky	
[4/15/23 05:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Sparky	
[4/15/23 05:01AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Sparky	
[4/16/23 02:54AM] Player picked up item: Coin, id: 995, amount: 1118839, owner: Sparky	
[4/16/23 02:54AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Sparky	
[4/19/23 12:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sparky	
[4/19/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/19/23 12:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sparky	
[4/25/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Coin, id: 995, amount: 200, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sparky	
[4/25/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sparky	
[4/25/23 06:25PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Sparky	
[4/25/23 06:26PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Sparky	
[4/25/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sparky	
[4/25/23 06:32PM] Player picked up item: Coin, id: 995, amount: 2430940, owner: Sparky	
[4/25/23 06:33PM] Player picked up item: Coin, id: 995, amount: 2941193, owner: Sparky	
[4/25/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Sparky	
[4/25/23 09:55PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sparky	
[4/25/23 09:55PM] Player picked up item: Coin, id: 995, amount: 400, owner: Sparky	
[4/25/23 10:03PM] Player picked up item: Coin, id: 995, amount: 1568005, owner: Sparky	
[4/25/23 10:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sparky	
[4/25/23 10:12PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Sparky	
[4/25/23 10:13PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Sparky	
[4/25/23 10:32PM] Player picked up item: Coin, id: 995, amount: 1425278, owner: Sparky	
[4/25/23 10:32PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sparky	
[4/25/23 10:34PM] Player picked up item: Coin, id: 995, amount: 4022333, owner: Sparky	
[4/25/23 10:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Sparky	
[4/25/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Sparky	
[4/25/23 10:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Sparky	
[4/25/23 11:33PM] Player picked up item: Coin, id: 995, amount: 2375811, owner: Sparky	
[4/25/23 11:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sparky	
[4/25/23 11:36PM] Player picked up item: Coin, id: 995, amount: 2398304, owner: Sparky	
[4/25/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Sparky	
[4/25/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Sparky	
[4/25/23 11:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Sparky	
[4/26/23 12:33AM] Player picked up item: Coin, id: 995, amount: 1028438, owner: Sparky	
[4/26/23 12:33AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Sparky	
[4/26/23 12:36AM] Player picked up item: Coin, id: 995, amount: 2915446, owner: Sparky	
[4/26/23 12:36AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Sparky	
[4/26/23 12:39AM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Sparky	
[4/26/23 12:41AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Sparky	
[4/26/23 12:41AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Sparky	
[4/26/23 12:52AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Sparky	
