[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:45PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Archer	
[4/16/23 04:47PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Archer	
[4/16/23 04:48PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 600, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Archer	
[4/16/23 04:49PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Archer	
[4/16/23 04:53PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Archer	
[4/16/23 04:53PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Archer	
[4/16/23 04:53PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Archer	
[4/16/23 04:53PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Archer	
[4/16/23 04:53PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Archer	
[4/16/23 04:54PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Archer	
[4/16/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Archer	
[4/16/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 8, owner: Archer	
[4/16/23 04:55PM] Player picked up item: Coin, id: 995, amount: 7000, owner: Archer	
[4/16/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Archer	
[4/16/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
[4/16/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Archer	
[4/16/23 04:58PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Archer	
[4/16/23 04:58PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Archer	
[4/16/23 04:59PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Archer	
[4/16/23 04:59PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Archer	
[4/16/23 05:03PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Archer	
[4/16/23 05:03PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Archer	
[4/16/23 05:06PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Archer	
[4/16/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Archer	
[4/16/23 05:06PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Archer	
[4/16/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Archer	
