[4/18/23 01:41PM] Player picked up item: Coin, id: 995, amount: 1128236, owner: Wooxy	
[4/18/23 01:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Wooxy	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Wooxy	
[4/18/23 01:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Wooxy	
[4/18/23 01:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Wooxy	
[4/18/23 01:52PM] Player picked up item: Coin, id: 995, amount: 300, owner: Wooxy	
[4/18/23 01:54PM] Player picked up item: Coin, id: 995, amount: 400, owner: Wooxy	
[4/18/23 02:01PM] Player picked up item: Coin, id: 995, amount: 500, owner: Wooxy	
[4/18/23 02:11PM] Player picked up item: Coin, id: 995, amount: 1295719, owner: Wooxy	
[4/18/23 02:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Wooxy	
[4/18/23 02:17PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Wooxy	
[4/18/23 02:22PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Wooxy	
[4/18/23 02:23PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Wooxy	
[4/18/23 02:24PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Wooxy	
[4/18/23 02:31PM] Player picked up item: Coin, id: 995, amount: 800, owner: Wooxy	
[4/18/23 02:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 02:33PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Wooxy	
[4/18/23 02:35PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Wooxy	
[4/18/23 02:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 02:36PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Wooxy	
[4/18/23 02:39PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 02:41PM] Player picked up item: Coin, id: 995, amount: 1693710, owner: Wooxy	
[4/18/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Wooxy	
[4/18/23 02:42PM] Player picked up item: Coin, id: 995, amount: 2474134, owner: Wooxy	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Wooxy	
[4/18/23 02:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Wooxy	
[4/18/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Wooxy	
[4/18/23 02:43PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:46PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:47PM] Player picked up item: Coin, id: 995, amount: 20000, owner: Wooxy	
[4/18/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wooxy	
[4/18/23 02:47PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:47PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 02:48PM] Player picked up item: Coin, id: 995, amount: 40000, owner: Wooxy	
[4/18/23 02:50PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Wooxy	
[4/18/23 02:50PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Wooxy	
[4/18/23 02:55PM] Player picked up item: Coin, id: 995, amount: 20000, owner: Wooxy	
[4/18/23 02:55PM] Player picked up item: Coin, id: 995, amount: 30000, owner: Wooxy	
[4/18/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wooxy	
[4/18/23 02:55PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 02:57PM] Player picked up item: Coin, id: 995, amount: 30000, owner: Wooxy	
[4/18/23 02:58PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:58PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 02:58PM] Player picked up item: Coin, id: 995, amount: 20000, owner: Wooxy	
[4/18/23 03:02PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Coin, id: 995, amount: 15000, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wooxy	
[4/18/23 03:03PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Wooxy	
[4/18/23 03:04PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
[4/18/23 03:04PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wooxy	
[4/18/23 03:04PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Wooxy	
[4/18/23 03:04PM] Player picked up item: Coin, id: 995, amount: 5000, owner: Wooxy	
[4/18/23 03:04PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wooxy	
