[4/19/23 08:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:51PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:53PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 08:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Daryl Dixon	
[4/19/23 08:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:02PM] Player picked up item: Coin, id: 995, amount: 1546683, owner: Daryl Dixon	
[4/19/23 09:02PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Daryl Dixon	
[4/19/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:07PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:07PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Coin, id: 995, amount: 200, owner: Daryl Dixon	
[4/19/23 09:08PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Daryl Dixon	
