[4/15/23 04:59AM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Alex	
[4/15/23 04:59AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Alex	
[4/15/23 05:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Alex	
[4/15/23 05:01AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Alex	
[4/15/23 05:01AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Alex	
[4/17/23 10:59AM] Player picked up item: Starter Helm, id: 703, amount: 1, owner: Onlyfans	
[4/21/23 11:23AM] Player picked up item: None, id: 23864, amount: 1, owner: Raynes 911	
[4/23/23 03:15AM] Player picked up item: Perfect Cell Rifle, id: 7543, amount: 1, owner: Wooxy	
[4/23/23 11:03AM] Player picked up item: Metal rectangle, id: 15252, amount: 90, owner: Fewb	
[4/23/23 11:03AM] Player picked up item: Turnscrew, id: 15253, amount: 1, owner: Fewb	
[4/23/23 11:05AM] Player picked up item: Turnscrew, id: 15253, amount: 84, owner: A Fatality	
[4/23/23 12:02PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Alex	
[4/23/23 12:02PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Alex	
[4/23/23 12:04PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Alex	
[4/23/23 12:04PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Alex	
[4/24/23 09:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Alex	
[4/24/23 09:19PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Alex	
